Device	Message	Address	Bit 0	Bit 1	Bit 2	Bit 3	Bit 4	Bit 5	Bit 6	Bit 7		Hex Conversion
		0x000									0	0
Rear DAQ	BASE	0x001									1	1
Rear DAQ	DAQ	0x002	Wheel L	Wheel R	Damper L	Damper R	0	Brake Signal	Cooling Switch	Fan Signal	2	2
Rear DAQ	SIG	0x003									3	3
		0x004									4	4
		0x005									5	5
		0x006									6	6
		0x007									7	7
		0x008									8	8
		0x009									9	9
		0x00A									10	00A
		0x00B									11	00B
		0x00C									12	00C
		0x00D									13	00D
		0x00E									14	00E
		0x00F									15	00F
		0x010									16	10
		0x011									17	11
		0x012									18	12
		0x013									19	13
		0x014									20	14
		0x015									21	15
		0x016									22	16
		0x017									23	17
		0x018									24	18
		0x019									25	19
		0x01A									26	01A
		0x01B									27	01B
		0x01C									28	01C
		0x01D									29	01D
		0x01E									30	01E
		0x01F									31	01F
		0x020									32	20
		0x021									33	21
		0x022									34	22
		0x023									35	23
		0x024									36	24
		0x025									37	25
		0x026									38	26
		0x027									39	27
		0x028									40	28
		0x029									41	29
		0x02A									42	02A
		0x02B									43	02B
		0x02C									44	02C
		0x02D									45	02D
		0x02E									46	02E
		0x02F									47	02F
PedalBoard	BASE / RESET	0x030									48	30
PedalBoard	DATA	0x031	Wheel L	Wheel R	Damper L	Damper R	Steering	Brake Trip	Pedal Average	Brake Average	49	31
PedalBoard	SET_EEPROM	0x032	Max Torque	Pedal0 Min	Pedal0 Max	Pedal1 Min	Pedal1 Max	0	0	0	50	32
		0x033									51	33
		0x034									52	34
		0x035									53	35
		0x036									54	36
		0x037									55	37
		0x038									56	38
		0x039									57	39
		0x03A									58	03A
		0x03B									59	03B
		0x03C									60	03C
		0x03D									61	03D
		0x03E									62	03E
		0x03F									63	03F
		0x040									64	40
		0x041									65	41
		0x042									66	42
		0x043									67	43
		0x044									68	44
		0x045									69	45
		0x046									70	46
		0x047									71	47
		0x048									72	48
		0x049									73	49
		0x04A									74	04A
		0x04B									75	04B
		0x04C									76	04C
		0x04D									77	04D
		0x04E									78	04E
		0x04F									79	04F
		0x050									80	50
		0x051									81	51
		0x052									82	52
		0x053									83	53
		0x054									84	54
		0x055									85	55
		0x056									86	56
		0x057									87	57
		0x058									88	58
		0x059									89	59
		0x05A									90	05A
		0x05B									91	05B
		0x05C									92	05C
		0x05D									93	05D
		0x05E									94	05E
		0x05F									95	05F
		0x060									96	60
		0x061									97	61
		0x062									98	62
